Marca temporal,"Frente a usted hay 2 muestras codificadas, elija la muestra que más le gustó.",Califica el Sabor 144,Califica el Sabor 232,Califica el Color 144 ,Califica el Color 232 ,Califica agrado de Aroma 144,Califica agrado de Aroma 232,Califica Textura 144,Califica Textura 232,Observaciones 144,Observaciones 232
22/11/2025 10:52:09,Muestra 144,4,3,5,4,4,3,4,3,Agradable sabor equilibrado ,"Más agria, sin embargo no le desagrada el sabor "
22/11/2025 11:00:59,Muestra 232,3,4,2,4,2,3,2,4,"Se le puede mejorar la textura, tiene mucho sabor a grasa ","Mejor textura y sabor, menos sabor a grasa "
22/11/2025 11:04:23,Muestra 232,3,5,5,5,4,5,5,5,Es más ácida que la segunda ,Le gustó la textura y el sabo
22/11/2025 11:06:45,Muestra 144,3,2,2,3,4,3,4,2,"El color lo encontró muy pálido, no le gusta la mayonesa pálida ",Sabor demasiado ácido para una mayonesa 
22/11/2025 11:11:04,Muestra 232,3,4,3,5,5,4,5,3,La encuentra más ácida que el resto de las mayonesas ,"No le agradó el daño, a su percepción no sabe a las mayonesas tradicionales "
22/11/2025 11:15:25,Muestra 144,3,2,5,5,3,4,4,3,La encontró demasiado ácida en comparación con las demás mayonesas ,"Le agradó el sabor, aroma y textura, no le cambiaría nada "
22/11/2025 11:19:26,Muestra 144,5,2,5,4,4,5,4,3,Le agradó la acidez de la mayonesa,"No le gustó el sabor, la encuentra muy incipida "
22/11/2025 11:25:30,Muestra 144,4,1,3,2,2,1,4,2,"Le gustó, ya que la encuentra con sabor equilibrado ",Mucho sabor agrio a diferencia de las otras 
22/11/2025 11:27:35,Muestra 232,2,5,3,3,3,4,4,4,Demasiada sal y muy agria para una mayonesa ,Equilibrada en cuanto a textura y sabor 
22/11/2025 11:31:31,Muestra 232,3,4,4,5,5,5,3,4,Más suave menos agria ,Más cremosa
22/11/2025 11:33:54,Muestra 144,4,2,4,4,5,4,3,2,Menos agria que el resto de mayonesas,"Más cremosa, le gustó el sabor "
22/11/2025 11:37:58,Muestra 144,5,3,5,3,4,4,5,3,Le agradó el color y la textura ,La textura y el sabor no le agrada por qué es muy ácida 
22/11/2025 11:39:45,Muestra 144,5,3,5,4,5,4,5,3,"Equilibrado con la acidez, sin embargo la encontró demasiado aceitosa","Buena cremosidad, pero incipida de sabor "
22/11/2025 11:40:53,Muestra 144,3,2,4,4,2,2,4,3,"Muy ácida, la encontró con sabor a vinagre ","Cremosa, sin embargo no le agradó que tuviera mucha aceite "
22/11/2025 11:42:13,Muestra 144,4,3,5,2,4,1,4,5,Le gustó lo equilibrada de los sabores sin embargo la textura líquida no le agradó ,No le gustó el olor ni el sabor pero si la cremosidad
22/11/2025 11:48:38,Muestra 232,4,2,4,3,4,3,5,5,Mucho aceite pero buen sabor ,Bien de aceite pero poco sabor 
22/11/2025 11:50:54,Muestra 144,4,4,5,4,5,4,4,4,Buen sabor y equilibrada,Muy aceitosa 
22/11/2025 11:51:29,Muestra 144,4,2,3,3,4,2,5,3,Buen sabor y bien de sal ,Muy cítrica 
22/11/2025 11:52:11,Muestra 232,3,2,4,2,3,4,5,2,Sabor muy artificial ,Excelente sabor y limon
22/11/2025 11:53:36,Muestra 144,5,3,5,2,4,2,5,5,sabor clásico y equilibrado ,sabor más aceitoso
22/11/2025 11:55:42,Muestra 144,4,3,4,2,4,2,4,2,Más suave de sabor ,Más artificial 
22/11/2025 11:58:39,Muestra 144,5,3,3,5,5,3,4,2,"Leve sabor a limón, suave sabor ",Más artificial 
22/11/2025 12:05:52,Muestra 232,2,5,3,5,3,5,2,5,Muy líquida ,Más espesa y mejor sabor
22/11/2025 12:10:13,Muestra 144,5,3,5,2,4,4,5,3,Sabor equilibrado,Sabor más dulce 
22/11/2025 12:11:59,Muestra 144,5,3,5,4,5,3,4,1,Sabor más equilibrado ,Más ácida 
22/11/2025 12:14:28,Muestra 144,4,2,3,2,2,4,5,4,"Agradable acidez, más sabrosa, más casera","Mejor textura, más cremosa, sabor más artificial "
22/11/2025 12:15:45,Muestra 144,4,1,4,1,5,5,4,2,Más casera y quilibrada ,Muy ácida 
22/11/2025 12:17:28,Muestra 144,4,2,5,2,4,2,4,3,Le gustaron ambas por igual ,Le gustaron ambas por igual
22/11/2025 12:22:13,Muestra 144,5,4,4,2,4,5,3,5,Más texturizada y mejor sabor ,Más insípida 
22/11/2025 12:24:58,Muestra 144,5,3,5,3,4,1,5,3,"Más suave, sabor clásico ","Más intensa, más artificial "
22/11/2025 12:27:46,Muestra 144,4,2,4,2,5,1,4,2,"No se le siente el sabor al huevo ni aceite, le hace falta vinagre",Más intensa y falta sabor vinagre
22/11/2025 12:32:03,Muestra 232,2,4,1,3,2,4,2,3,La encontró muy ácida y no le gusta la textura ,La encontró más neutral y menos sabor a mayo casera 
22/11/2025 12:37:56,Muestra 144,4,3,4,3,4,3,4,3,Le gusta que sea más agria que las otras pero no que sea tan líquida ,Le gustó la textura sin embargo le sintió más grasosa 
22/11/2025 12:39:12,Muestra 144,4,3,4,2,3,1,3,2,Le gustó la textura y el sabor,"No le gustó la textura, la encuentra muy artificial "
22/11/2025 12:40:30,Muestra 144,5,3,5,2,5,2,5,1,"Le agradó el sabor y la textura, equilibradas ",Encontró una textura muy aceitosa
22/11/2025 12:43:27,Muestra 144,3,1,4,4,3,2,5,2,"La encuentra más sabrosa, y con la sal perfecta",Encuentra que no tiene mucho sabor y no le gustó la textura 
22/11/2025 12:47:07,Muestra 232,2,4,4,4,3,2,2,4,La encuentra muy ácida para una mayonesa ,Le gustó el sabor y la textura 
22/11/2025 12:50:59,Muestra 232,3,4,2,3,2,3,1,4,La encontró muy salda y muy ácida ,Le gustó por qué no tenía tanta sal y le agradó más la textura 
22/11/2025 12:53:46,Muestra 144,4,3,2,2,3,4,5,3,Le gustó que fuese más ácida y la textura que tenía ,"No le gustó el sabor, le falta sal "
22/11/2025 12:55:19,Muestra 144,4,2,3,3,3,3,4,4,Le gustó menos por qué la encontró muy ácida ,Esta la encontró muy incipida sin sal 
22/11/2025 12:58:42,Muestra 232,4,3,4,3,3,3,5,3,La encontró más líquida y más agradable la acidez ,La encontró muy cremosa sin embargo no le gustó el sabor 
22/11/2025 13:02:28,Muestra 144,5,3,4,4,3,3,5,3,Le gustó por qué la encontró más ácida que la segunda ,"La encontró muy grasosa es sabor, sin sal"
22/11/2025 13:12:57,Muestra 144,4,3,4,4,3,3,3,5,Le gustó más por qué le encontró más sabrosa pero no le gustó la textura,No le encontró mucho sabor pero le gustó más la textura cremosa 
22/11/2025 13:14:08,Muestra 232,2,5,4,4,3,3,2,5,La encontró muy salada y muy ácida además de muy líquida ,Le gustó más por que la encontró más suave y más cremosa 
22/11/2025 13:16:57,Muestra 232,2,4,3,3,2,4,1,4,Le encontró mucho sabor a vinagre ,Le agradó más la textura y dice que la encontró un poco dulce 
22/11/2025 13:23:34,Muestra 144,5,5,4,4,3,3,4,4,La encontró más parecida a la venezolana con un sabor más agrio,La encontró mucho más dulce pero le gustó la textura y cremosidad 
22/11/2025 13:25:12,Muestra 144,4,3,4,4,4,4,4,5,No le gustó por qué la encontró muy agria ,La encontró muy grasosa 
22/11/2025 13:26:02,Muestra 232,3,5,4,4,3,2,1,4,"No le agradó la textura de la primera, la encontró muy líquida ","La segunda le agradó la textura pero no el sabor, le falta sal "
23/11/2025 10:44:50,Muestra 144,5,3,5,5,5,3,5,4,- ,- 
23/11/2025 10:49:06,Muestra 144,5,3,5,5,5,3,5,3,Es más suave y rica  ,Muy fuerte 
23/11/2025 10:49:50,Muestra 144,5,3,5,5,5,3,5,3,Más suave ,Olor más fuerte 
23/11/2025 11:08:07,Muestra 144,5,4,5,5,5,4,5,5,Está buena ,Está buena pero mejor la anterior
23/11/2025 11:21:17,Muestra 144,4,3,5,5,4,4,4,4,Dice que es una mayo dulce ,Dice que es una mayo muy simple 
23/11/2025 11:32:56,Muestra 144,5,5,5,5,5,5,5,5,-,-
23/11/2025 11:35:32,Muestra 144,5,3,5,4,5,3,5,3,"Siempre come esta, le gusta ",No la encontró mala pero no le encantó 
23/11/2025 11:45:08,Muestra 232,2,4,4,4,2,4,4,4,No le gustó nada,Le gustó mucho 
23/11/2025 11:56:30,Muestra 232,4,4,4,4,4,4,4,4,Excelente ,Ambas buenas 
23/11/2025 12:31:21,Muestra 232,3,5,4,5,5,5,5,5,No le gustó ,Le gustó mucho 
23/11/2025 12:33:13,Muestra 232,1,5,5,5,5,5,5,5,"Buena textura y aroma, el sabor no le gustó mucho ",Buena textura y muy rico sabor. La compraría 
23/11/2025 12:47:32,Muestra 144,5,4,5,5,5,5,5,5,Está más cremosa pero rica ,Está más neutra pero igual rica 
23/11/2025 12:48:32,Muestra 144,5,4,5,5,4,4,5,5,Son muy parecidas las dos pero esta es más suave ,Son muy parecidas las dos pero esta es más fuerte 
23/11/2025 12:49:18,Muestra 144,5,5,5,5,5,5,5,5,Muy rica y sabrosa ,"Muy rica, pero con aroma más fuerte "
23/11/2025 12:51:06,Muestra 144,5,4,5,5,4,4,5,5,Más rica que la otra ,- 
29/11/2025 11:01:13,Muestra 144,5,2,5,5,5,3,5,2,Sabor más único y auténtico ,"Muy común, callejera "
29/11/2025 11:03:06,Muestra 144,4,4,5,5,3,3,4,3,no está ni dulce ni salada. Perfecta,"mejoraría la textura, la sintió más líquida. Netamente textura porque de sabor bien"
29/11/2025 11:05:11,Muestra 144,5,3,5,4,5,1,4,2,Sabe a lo que huele y eso le pareció agradable ,"No huele, la sintió sin mucha diferencia de la primera "
29/11/2025 11:06:44,Muestra 144,5,5,5,5,5,5,5,4,le gustó porque el sabor estaba más liviana y suave,no le agradó tanto porque el sabor estaba más fuerte y era más espesa
29/11/2025 11:06:50,Muestra 144,5,3,5,3,5,3,5,2,Más cremosa y agradable ,Ácida e insípida 
29/11/2025 11:12:27,Muestra 232,3,5,5,5,5,3,3,5,Insípida ,Cremosa 
29/11/2025 11:13:51,Muestra 144,5,2,5,3,5,4,5,5,"le falta más doblez, bien de sabor y textura ligera al paladar","le falta ácido y más doblez. Muy dulce, sabe mucho a salsa"
29/11/2025 11:17:22,Muestra 232,3,5,4,5,4,4,4,5,espesa y algo fuerte. Similar a la 232 pero no tan agradable ,"más suave, más dulce y más ligera al paladar. No empalagosa "
29/11/2025 11:18:21,Muestra 144,5,4,5,5,5,5,5,4,Es sabrosa es cremosa se parece a la kraf,Está le falta un poco más de sabor que sea más potente 
29/11/2025 11:18:32,Muestra 144,5,3,5,4,4,3,5,4,ligera y perfecta de equilibrio. Mas espesa pero no desagradable ,muy ligera y dulce. No para acompañar
29/11/2025 11:20:14,Muestra 144,4,2,5,4,5,1,5,2,Sabor más casero ,Sabor más artificial 
29/11/2025 11:21:53,Muestra 232,4,5,4,4,4,4,4,5,"está buena, en su punto pero le gusta más la otra ",le falta un punto de limón. Tiene un poco de sal pero no es desagradable 
29/11/2025 11:22:44,Muestra 144,5,2,5,5,5,5,5,2,Es más rica porque se siente más cacera ,Está Esta es como más artificial no me gustó porque además le falta sabor y q no sea tan plástica 
29/11/2025 11:24:16,Muestra 144,5,3,5,4,5,4,5,4,la dejaría tal cual como esta,le agregaría un punto de acidez y un poco más espesor 
29/11/2025 11:24:36,Muestra 144,5,4,5,5,5,5,5,4,Es más dulce se parece mucho a la kraf,Está Esta como ácida quizás le falta como un toque de limón o más dulzor 
29/11/2025 11:26:53,Muestra 232,4,5,4,4,4,4,3,5,"más simple, no muy agradable para acompañar, le falta pimienta","la otra tiene más sabor y es más espesa. Tiene más sazón, la deja tal cual esta"
29/11/2025 11:29:01,Muestra 232,3,5,5,5,5,5,3,5,Está como muy pesada porque es muy dulce ,Rica es liviana y más ácida 
29/11/2025 11:29:07,Muestra 144,5,2,4,4,5,5,5,4,"la encontró suave, tenía más sabor, no tan invasivo","la sintió muy fuerte, muy tosca. Algo ligera, más fuerte al tacto"
29/11/2025 11:30:54,Muestra 144,4,3,5,5,5,5,5,4,Rica es como con sabor a mayo cacera pero es como entre suave y media líquida ,Está está como más pesada como ácida yo creo que le falta dulzor y más cremosidad 
29/11/2025 11:32:49,Muestra 232,2,5,4,4,5,5,2,5,"no se encontró sabor, muy liviano",toque perfecto de sabor
29/11/2025 11:33:02,Muestra 144,5,4,5,5,5,5,5,4,Es suave cremosa está bien me gusta ,Igual me gusta pero es más como líquida o liviana que la otra 
29/11/2025 11:36:50,Muestra 144,5,3,5,3,5,4,5,4,tiene sal,muy dulce
29/11/2025 11:37:34,Muestra 144,4,2,5,5,5,5,4,4,Rica le falta un poco más de sal y que esté un poco más cremosa ,Está igual es cremosa pero el sabor es como plástico 
29/11/2025 11:38:29,Muestra 232,4,5,5,5,5,5,5,4,Me gustó pero le falta como más acidez ,Esta es más ácida y más fuerte por eso me gusta más quizás que esté más cremosa 
29/11/2025 11:39:36,Muestra 232,3,5,5,5,5,5,3,5,Está demasiado dulce y como pesada como grasosa ,Rica de sabor como que tiene eso fuerte y es más liviana 
29/11/2025 11:40:40,Muestra 144,5,3,5,5,5,5,5,3,Me gustó es como mayo cacera ,No me gustó mucho porque es pesada y como q me envuelve el paladar 
29/11/2025 11:40:44,Muestra 144,5,3,5,5,5,3,5,3,"el sabor, tiene un sabor diferente, más gustito y más sazón ",la otra muy dulce y poco sazonada
29/11/2025 11:43:00,Muestra 232,3,5,4,5,4,5,4,5,Mucha acidez ,Sabor más suave 
29/11/2025 11:44:37,Muestra 232,4,5,5,5,5,5,4,5,un poco más liviana y poco sazonada ,esta es más espesa y concentrada. Se inclina por su dulzor 
29/11/2025 11:44:59,Muestra 144,4,3,4,3,5,3,4,2,Le gustó más la textura y el sabor destaca su suavidad ,No era la textura que le agradaba le pareció muy aceitosa 
29/11/2025 11:46:14,Muestra 144,5,2,5,5,5,5,5,2,Rica suave y cremosa ,Muy pesada como muy grasosa en el paladar 
29/11/2025 11:47:21,Muestra 144,5,3,5,5,5,3,5,3,Más consistente sabor más equilibrado ,Muy aceitosa 
29/11/2025 11:47:43,Muestra 144,5,3,5,4,5,3,5,4,"estaba muy rica, tenía un toque de acidez nivelado. El olor era un poco más fuerte pero acompaña al sabor",la segunda estaba algo pasado en el ácido y el dulzor no acompañaba. Era una mezcla extraña
29/11/2025 11:48:16,Muestra 144,5,2,5,5,3,3,5,1,Más espesa y agradable ,Muy hostigánte 
29/11/2025 11:50:05,Muestra 232,3,5,5,5,4,5,3,5,Muy fuerte el aroma y el sabor muy hostigoso,estaba en su punto. Buena textura al paladar y tenía su toque dulce que la diferenciaba
29/11/2025 11:50:51,Muestra 232,2,5,5,3,5,5,3,5,No le gusta la contextura que le da a los alimentos donde usaría mayonesa siente que es muy aguada ,Se parece a la Kraft y es lo que más me gusta 
29/11/2025 11:54:24,Muestra 232,3,4,5,5,5,5,2,3,tiene un sabor extraño. No le agrado,"Le ayuda el dulzor, pero no es muy agradable "
29/11/2025 11:55:21,Muestra 144,5,3,5,5,5,5,5,3,Me gustó más por la textura y el sabor que deja al final ,Muy espesa 
29/11/2025 11:55:51,Muestra 144,4,2,5,2,3,3,5,1,Mejor consistencia y acidez ,Muy común 
29/11/2025 11:57:19,Muestra 232,5,4,4,4,4,4,5,4,La siente más rica que la segunda pero le desagrada la consistencia ,Me gusto la consistencia de esta por eso la elegí pero me quedo con el sabor de la primera 
29/11/2025 11:58:21,Muestra 232,3,5,3,5,4,5,2,5,"muy pesada, desagradable para acompañar","le encantó. Estaba en su punto, le faltó un poco de cítrico pero mejor que la primera"
29/11/2025 11:59:58,Muestra 232,5,5,5,5,5,5,5,5,Ambas le gustaron pero le gustó más la segunda ,Sabor más agradable 
29/11/2025 12:00:39,Muestra 144,5,3,5,5,5,5,3,5,Mejor acidez ,Muy hostentosa 
29/11/2025 12:01:04,Muestra 232,3,5,5,5,4,4,3,5,toquesito de acidez y poquito más de sal,estaba en su punto. Maravillosa al paladar
29/11/2025 12:01:20,Muestra 144,5,4,5,5,5,5,5,5,Esta rica y la textura igual ,Tiene buen sabor
29/11/2025 12:04:20,Muestra 144,5,3,5,5,3,3,3,5,Más rica pero no me gusta la textura ,Me gusta más la textura de esta pero el sabor de la otra 
29/11/2025 12:05:21,Muestra 232,4,5,2,5,3,5,3,5,sal bien pero el sabor es muy fuerte,estaba en su punto
29/11/2025 12:08:43,Muestra 144,5,3,5,5,5,5,4,4,Más agradable ,Muy espesa 
29/11/2025 12:08:56,Muestra 144,4,2,5,5,5,5,5,3,poquito de sal pero de sabor perfecta ,insípida. Algo dulce para ser una mayonesa
29/11/2025 12:13:46,Muestra 232,4,5,5,5,5,5,3,5,"más textura, más firmeza","no se le mejora nada, está perfecta"
29/11/2025 12:15:35,Muestra 144,5,4,5,5,5,4,4,5,Más dulce ,Acidez que no le gusto 
29/11/2025 12:16:34,Muestra 144,5,4,5,5,5,4,5,5,Mejor sabor ,Más agria 
29/11/2025 12:17:40,Muestra 232,4,5,5,5,5,5,4,5,"mucha acidez, le falta regulación ",está perfecta
29/11/2025 12:18:49,Muestra 232,1,5,5,5,5,5,1,5,Está muy ácida y líquida ,Esta es más normal como sabor a mayo y más cremosa 
29/11/2025 12:19:16,Muestra 144,4,2,5,5,5,5,4,2,Esta rica,Esta mas salada
29/11/2025 12:19:25,Muestra 232,3,5,5,5,5,5,2,5,Muy líquida y con un sabor ácido ,Está Esta es dulce y más sabrosa 
29/11/2025 12:20:20,Muestra 144,5,4,5,5,5,5,5,4,Está rica suave y liviana ,Está está muy pesada pero igual bien 
29/11/2025 12:23:45,Muestra 144,4,3,5,5,5,5,4,3,Tiene mejor sabor,El sabor está neutro 
29/11/2025 12:24:53,Muestra 232,4,5,5,4,5,5,4,5,está buena de sabor pero muy livianita,está mejor porque  es más condimentada
29/11/2025 12:26:13,Muestra 232,4,5,5,5,5,5,3,5,Rico el sabor pero está como líquida le falta más sazón ,Esta es muy parecida a la kraf porque es como suave y con harto sabor 
29/11/2025 12:28:07,Muestra 144,5,2,5,3,4,5,4,4,"está rica, está bien de acidez y en su punto con la sal. Parece más una mayo convencional",muy aliñada
29/11/2025 12:28:21,Muestra 144,4,2,5,5,5,5,4,3,Rica como ligera debería ser un poco más cremosa ,Media ácida como que igual debería ser menos pesada 
29/11/2025 12:29:07,Muestra 144,4,3,5,5,5,5,5,5,Le falta sal pero esta mas rica,Esta muy dulce
29/11/2025 12:30:20,Muestra 232,4,5,5,5,5,5,3,5,No me gustó mucho porque le falta como más sabor y es como salsa ,Me gusta tiene más fuerza en el sabor que la otra 
29/11/2025 12:31:30,Muestra 144,4,2,5,5,5,5,4,5,Sabe a mayo cacera pero quizás le falta como sal o un toque a limón y más espesor ,Esta sabe de pote pero es más cremosa 
29/11/2025 12:32:27,Muestra 232,3,4,4,2,1,1,3,3,no se logra identificar las especias,sabe más a mayonesa comercial
29/11/2025 12:32:48,Muestra 144,5,4,5,5,5,5,4,5,Está rica buena y un poco acuosa ,Sabe a mayo pero no tanto como la otra es como más incipida pero buena y suave 
29/11/2025 12:34:56,Muestra 232,3,4,4,4,4,4,4,4,un poco más dulce que la segunda,"está bien, no se agrega nada"
29/11/2025 12:38:32,Muestra 144,5,3,5,5,5,5,5,3,más cremosa,"toque más de sabor, toquesito por que está bien"
29/11/2025 12:39:50,Muestra 144,5,4,5,5,5,5,5,5,Buen sabor,Muy dulce
29/11/2025 12:41:51,Muestra 232,4,5,5,5,5,5,4,5,"es más ácida, un gusto adaptable",muy rico el dulzor
29/11/2025 12:42:55,Muestra 232,3,4,4,5,4,5,4,5,"La mayonesa sabe a cremoso, rico y un toque mas dulce que la otra",Muy acida para mi gusto
29/11/2025 12:45:21,Muestra 232,2,4,5,5,5,5,3,4,"es más aguada, es más convencional así que no convence",estaba más dulce y más espesa. Parecía más mayo
