Marca temporal,"Frente a usted hay 2 muestras codificadas, elija la muestra que más le gustó.",Califica el Sabor 144,Califica el Sabor 232,Califica el Color 144 ,Califica el Color 232 ,Califica agrado de Aroma 144,Califica agrado de Aroma 232,Califica Textura 144,Califica Textura 232,Observaciones 144,Observaciones 232
29/11/2025 12:45:30,Muestra 144,5,4,5,5,5,5,4,5,Rica es ligera y suave un poco líquida pero está bien ,Está igual está buena quizás si fuera un poco menos pesada estaría mejor que la otra porque es más cremosa 
29/11/2025 12:46:45,Muestra 232,3,4,5,5,5,5,3,5,No me gustó mucho porque es como muy como ácida y líquida ,Tiene buen sabor y buena cremosidad más que la otra 
29/11/2025 12:48:30,Muestra 232,4,5,5,3,3,5,3,5,"Buen sabor pero le falta como más dulce, es pálida para ser mayor no tiene ese color ",Está buena el sabor es cremosa rica pero tampoco tiene como ese amarillo de la mayonesa 
29/11/2025 12:48:33,Muestra 144,5,3,5,5,4,4,4,4,Buen sabor y textura,Un poco dulce
29/11/2025 12:51:29,Muestra 232,3,5,3,5,5,5,3,5,tiene sabor a una mayonesa convencional,"el toque dulce le da un poco de personalidad a la mayonesa, pero no convence del todo "
29/11/2025 12:53:53,Muestra 232,2,4,5,5,5,5,2,5,No me sabe a mayonesa es muy plástica el sabor ,Rica sabe a mayo kraf como dulce cremosa 
29/11/2025 12:56:46,Muestra 144,5,4,5,5,5,5,5,4,Está fresca es como para una ensalada así como con toque a limón ,Rica pero más pesada como más densa 
29/11/2025 12:57:19,Muestra 232,2,4,5,5,4,4,4,4,"le falsa sal, un poco más de aliño. Se ve muy convencional",tiene más sazón que la primera
29/11/2025 12:59:21,Muestra 144,5,3,5,5,4,3,3,4,Mejor sabor peor textura ,Muy empalagosa 
29/11/2025 13:00:03,Muestra 144,5,3,5,5,4,4,5,2,"está bien condimentada ya que está al punto, no necesita mas",la siente muy citrica
29/11/2025 13:03:27,Muestra 144,5,3,4,5,5,5,4,3,tiene más sabor,tiene un sabor desfasado 
29/11/2025 13:05:22,Muestra 232,5,5,4,2,4,3,4,4,Mejor sabor ,Mejor consistencia destacó eso 
29/11/2025 13:06:59,Muestra 144,5,3,5,5,5,5,4,3,Buen sabor y la textura suave,Muy grasosa y pesada
29/11/2025 13:09:14,Muestra 232,3,5,5,5,5,5,3,5,"más suavecita, no se percibía ","más pesada, estaba más rica en textura ya que parecía más mayonesa"
29/11/2025 13:11:42,Muestra 144,5,3,5,5,4,3,3,5,Destaca el sabor que deja al final ,El sabor no le parece agradable pero le gustó la consistencia 
29/11/2025 13:12:02,Muestra 144,5,4,4,4,4,4,4,5,"estaba bien, sirve como mayonesa convencional","diferente , pero convence de igual manera"
29/11/2025 13:12:27,Muestra 232,5,5,5,5,4,4,4,4,Esta en su punto de sabor y textura ,"Agregarle un poco mas de sal, el sabor esta un poco insípido "
29/11/2025 13:14:46,Muestra 232,5,5,4,3,3,5,3,5,Siente que ambas son buenas pero que esta es muy ligera ,Destaca esta por la consistencia 
29/11/2025 13:16:46,Muestra 232,3,4,4,4,4,4,3,5,Funciona bien,Se destaca el inclinado dulce
29/11/2025 13:17:00,Muestra 144,5,3,5,5,5,5,5,4,Sabor en su punto,No se siente un sabor muy fuerte 
29/11/2025 13:19:59,Muestra 144,5,2,5,5,5,5,5,5,Ambas son buenas pero destaca cierto sabor más casero ,Le parece bien pero muy genérica 
29/11/2025 13:20:03,Muestra 144,5,3,5,5,5,5,4,4,Buen sabor ,Le falta mas sabor 
29/11/2025 13:20:03,Muestra 232,3,5,4,4,4,4,3,5,"suavecita, buen sabor pero no le gustó","cremosa, parecía más mayonesa que la anterior"
29/11/2025 13:21:45,Muestra 232,3,5,4,4,4,4,2,5,Muy ácida ,Le gustó bastante la consistencia el sabor y la intensidad dice que sería perfecta para una hamburguesa 
29/11/2025 13:23:27,Muestra 144,5,4,5,5,5,5,5,4,Buen sabor pero un poquito aguada,No se siente bien un sabor
29/11/2025 13:23:34,Muestra 144,4,3,3,3,5,5,4,4,"Mayonesa más neutral, más comun","la segunda sabe un poco más dulce, sabía más artificial"
29/11/2025 13:25:09,Muestra 232,4,5,5,5,5,5,4,4,Esta un poco acida,Esta bueno el sabor medio dulce
29/11/2025 13:25:22,Muestra 144,5,2,5,4,5,5,5,3,"mucho más rica, más convencional y por eso más segura de comprar","muy dulce, no le gustó"
29/11/2025 13:26:25,Muestra 232,4,5,4,4,3,3,5,5,Muy suave ,Más sabor a Kraft 
29/11/2025 13:27:45,Muestra 144,4,3,3,3,2,1,5,4,Se puede apreciar más el sabor que tiene lo que la hacía resaltar ,No se sentía el sabor era más insípida 
29/11/2025 13:29:52,Muestra 144,4,2,3,3,5,5,5,2,tiene mucho vinagre,muy viscoza y muy dulce
29/11/2025 13:30:13,Muestra 144,4,2,5,5,5,5,4,4,Se siente más el sabor ,Está está muy simple no se le siente casi nada 
29/11/2025 13:30:13,Muestra 144,5,2,5,5,5,5,4,3,Buen sabor ,Le falta mas sazón
29/11/2025 13:31:11,Muestra 144,3,3,5,5,5,5,5,5,Tiene como ajo como dulce azucarada ,Esta es más salada como con vinagre pero a mí me gustan más dulces 
29/11/2025 13:31:54,Muestra 232,3,4,5,5,5,5,5,5,muy ácida y muy invasivo el sabor,sabe más dulce pero la textura muy buena
29/11/2025 13:33:48,Muestra 144,4,3,5,5,5,5,4,5,está buena en intensidad de sabor ,muy convencional el sabor 
29/11/2025 13:36:24,Muestra 144,5,3,4,4,4,4,5,4,"más rica de sabor, más confortable al paladar",muy dulce y acuosa 
29/11/2025 13:36:40,Muestra 144,5,2,5,5,5,5,5,5,Buen sabor y sazón ,Muy parecida a otras mayonesas
29/11/2025 13:39:40,Muestra 144,4,3,5,4,4,3,5,4,Se sienta más narural,"No
Me agrada el sabor"
29/11/2025 13:39:55,Muestra 144,5,3,4,4,3,2,3,3,"Mejor acides, destaca sentir cierto vinagre más agradable ",Muy insípida 
29/11/2025 13:40:09,Muestra 144,3,2,4,4,5,5,4,2,le falta más cuerpo,"le falta de todo,  muy suave media insipida"
29/11/2025 13:40:30,Muestra 232,4,5,4,4,3,3,3,5,Muy ácida para su gusto ,Destaca mucho la consistencia la siente parecida a la Kraft 
29/11/2025 13:40:34,Muestra 144,5,4,5,5,5,5,5,5,Buen sabor,"Esta un poco dulce, les gustaria mas salada"
29/11/2025 13:41:10,Muestra 144,4,2,3,3,2,2,5,2,Destaca acides y ligereza ,Muy densa y aceitosa. 
29/11/2025 13:42:19,Muestra 232,2,4,3,3,3,2,2,5,Muy ácida y ligera siente que quedaría muy aguada en las preparaciones que hace con mayonesa ,Destaca la cremosidad y consistencia 
29/11/2025 13:42:47,Muestra 144,4,3,5,5,5,5,5,4,"el sabor está bueno, ni tan fuerte ni tan suave. ","tiene un poco de sal, le falta equilibrio "
29/11/2025 13:43:50,Muestra 144,5,2,4,4,5,2,5,3,Ligera y con sabor más único ,"Muy densa, hostigante "
29/11/2025 14:08:53,Muestra 144,5,1,5,1,5,1,5,3,Mayo tradicional perfecta para todo tipo de comidas ,Se sale de lo común se siente d diferente no parece mayonesa 
29/11/2025 14:41:10,Muestra 144,5,2,5,4,5,5,5,4,mucho más rica y más pasable para acompañamiento ,"algo dulce, muy predominante "
30/11/2025 10:41:53,Muestra 144,5,4,5,5,4,4,5,5,mas convencional,muy dulce
30/11/2025 10:42:37,Muestra 232,4,5,5,5,5,5,5,3,No esta muy bueno el sabor ,Tiene buen sabor
30/11/2025 10:42:57,Muestra 144,5,3,5,4,5,3,5,3,bastante práctica para acompañar,muy dulce para funcionar
30/11/2025 10:46:00,Muestra 144,5,3,5,5,5,5,5,4,Sabrosa,Le falta sal
30/11/2025 10:46:30,Muestra 232,3,5,4,4,4,5,4,5,"muy ácida, le falta un poco de livianez porque es muy fuerte",su punto perfecto entre lo dulce y lo que es mayonesa
30/11/2025 10:49:30,Muestra 144,5,3,4,4,4,4,5,5,un poco amarga pero funciona bien para acompañar,"muy dulce, es un sabor extraño"
30/11/2025 10:52:17,Muestra 144,5,3,5,4,5,2,5,3,"más rica,  un toque de ácido que la diferencia","Estaba algo insípida, el dulce muy invasivo"
30/11/2025 10:53:55,Muestra 232,3,5,3,5,3,5,3,5,muy convencional,tiene un agrado a limon y el dulzor está perfecto
30/11/2025 10:54:17,Muestra 232,4,5,5,5,5,5,4,4,Buen sabor ,Tiene un sabor mas notorio
30/11/2025 10:56:36,Muestra 144,5,3,3,4,4,4,5,4,"Funciona mejor, tiene el ácido elevado pero en su punto",no le agradó porque no estaba acostumbrada al sabor
30/11/2025 10:59:07,Muestra 144,5,3,5,3,4,4,5,3,más suave y adaptable,más intensa y más invasiva
30/11/2025 11:01:05,Muestra 144,5,2,5,2,5,2,5,2,perfecto en su punto de acidez,"muy dulce, no funciona "
30/11/2025 11:01:50,Muestra 232,4,5,5,5,5,5,5,5,Muy insipida,Mas dulce mas rica
30/11/2025 11:01:59,Muestra 144,5,4,3,3,5,5,4,5,Rica es frecuente como mayonesa cacera pero un poco líquida y sin ese amarillo de la Mayo ,Está igual está bien no le siento tanto el sabor y lo mismo con el color es más cremosa 
30/11/2025 11:02:27,Muestra 144,5,1,5,5,5,2,5,2,más ligera pero sin ser demasiado aguosa. Funciona bien,muy grumosa y dulce
30/11/2025 11:03:04,Muestra 144,5,2,5,5,5,5,5,3,Buen sabor y buena textura,Muy dulce y la textura media grumosa
30/11/2025 11:04:39,Muestra 144,5,1,5,1,5,1,5,1,Perfectamente equilibrada entre su espesor y liquidez. Tiene poco de acidez pero no es fuerte ni invasible,"el dulzor está fuerte para se runa mayonesa, no convence"
30/11/2025 11:07:51,Muestra 144,5,3,5,4,5,4,4,5,"más rica, más funcional",no es muy interesante. Insipida
30/11/2025 11:10:57,Muestra 144,5,2,5,4,4,4,4,4,más rica. Buena textura,no muy agradable en sabor y espesor
30/11/2025 11:14:46,Muestra 232,4,5,4,4,5,5,3,5,Esta se siente más ácida y un poco más líquida ,Más dulce cremosa y rica 
30/11/2025 11:19:44,Muestra 232,3,5,5,5,5,5,3,5,Está buena pero no tiene como sabe a mayo ,Está está más buena es más cremosa y dulce 
30/11/2025 11:22:57,Muestra 144,5,1,5,5,4,2,5,4,"funciona mejor, es más convencional","tiene un sabor avinagrado, es muy fuerte"
30/11/2025 11:23:00,Muestra 144,5,3,5,5,5,5,5,5,El sabor esta mas suave y rico,El sabor esta un poco mas invasivo
30/11/2025 11:25:07,Muestra 144,5,2,5,3,3,5,5,5,estaba rica y era más comun,"tiene un sabor avinagrado, es muy fuerte"
30/11/2025 11:26:57,Muestra 144,5,3,3,2,5,2,4,2,La encontró parecida a la kraft ,"Nada desagradable, pero es mas insípida "
30/11/2025 11:29:14,Muestra 144,5,3,5,5,5,5,5,3,está más sabrosa y combina bien con la comida,muy dulce y algo agria
30/11/2025 11:30:51,Muestra 232,4,5,5,5,5,5,5,5,Esta va mejor con ensalada ,Esta va mejor con galletas
30/11/2025 11:31:38,Muestra 232,3,5,3,4,4,5,4,5,"muy común, funciona normal pero no destaca",Se destaca por su dulzor y tiene un pequeño gusto a Limón. Funciona como salsa
30/11/2025 11:31:56,Muestra 144,5,1,5,5,5,5,4,4,Buen sabor ,Muy dulce
30/11/2025 11:32:59,Muestra 144,5,4,5,5,5,5,5,4,Está sabe igual q la mayo kraf ,Buena pero muy grasosa
30/11/2025 11:34:23,Muestra 232,3,5,4,4,5,5,3,5,tiene un sabor muy sobresaliente,es más suave al tacto
30/11/2025 11:34:47,Muestra 144,5,3,5,5,5,5,3,4,Buen sabor como con ajo pero no es tan suave ,Más suave pero de sabor no me gustó mucho porque como q es dulce 
30/11/2025 11:37:52,Muestra 232,3,5,5,5,1,1,3,5,Muy ácida para mi gusto a ninguna mayo le sentí olor ,Me gusta es como mayo normal lo que sí se siente muy bien muy cremosa 
30/11/2025 11:38:52,Muestra 144,5,3,5,5,5,5,4,3,"más rica, y no tan invasiva",muy fuerte
30/11/2025 11:41:21,Muestra 144,5,3,5,5,5,5,5,4,el sabor agrio le da más cuerpo. Es un agrio bueno,"es muy simple, muy neutra. Le falta un toque de condimento"
30/11/2025 11:42:33,Muestra 232,2,4,2,4,1,5,2,5,No le sintió sabor y textura mucho sabor a aceite ,Más sabor y un poco más de sal 
30/11/2025 11:44:00,Muestra 232,3,5,5,5,5,5,3,5,es muy comun y agría,es más cremosa y el dulce le complementa perfecto
30/11/2025 11:45:42,Muestra 144,4,3,4,3,4,3,4,3,Toque agrio a limon mas agradable ,Muy dulce 
30/11/2025 11:46:32,Muestra 144,5,3,5,5,5,5,4,4,mucho más practica,no convence mucho
30/11/2025 11:46:35,Muestra 232,5,4,5,5,5,5,3,5,Muy liquida y sin sabor ,Mas espesa y sabrosa 
30/11/2025 11:47:43,Muestra 144,5,4,5,5,5,5,5,4,Tiene buen sabor y textura,Muy espesa y dulce
30/11/2025 11:48:03,Muestra 144,5,4,5,5,3,3,4,5,Siente que el sabor es mejor ,Ambas son buenas pero le gusta más la textura de esta 
30/11/2025 11:48:26,Muestra 232,3,5,5,5,5,5,4,4,"muy comun, no agrado",su dulzor destacó y funciona mejor
30/11/2025 11:50:17,Muestra 144,4,3,3,4,3,3,5,4,La textura le parece más agrable ,Muy espesa 
30/11/2025 11:54:56,Muestra 232,2,5,4,4,4,5,5,5,Muy intensa ,Sabor más suave y equilibrado 
30/11/2025 12:02:29,Muestra 232,4,5,5,5,5,5,5,5,Tiene mas sazón ,Muy dulce le falta sal
30/11/2025 12:07:07,Muestra 232,3,5,5,5,5,5,5,5,muy convencional ,muy rica
30/11/2025 12:10:02,Muestra 144,5,3,3,3,3,3,5,2,Mejor acidez ,Es tan dulce que se siente aceitosa 
30/11/2025 12:10:55,Muestra 232,5,5,4,4,3,4,3,5,También me gusto pero me quedo con la segunda opción por consistencia ,Muy dulce pero de consistencia perfecta 
30/11/2025 12:16:47,Muestra 232,4,5,5,5,4,5,5,5,Más durita de consistencia menos firme ,Más cremosa y rica 
30/11/2025 12:17:41,Muestra 232,3,5,5,5,5,5,5,5,No se siente bien el sabor,Tiene buen sazón 
30/11/2025 12:17:47,Muestra 144,5,3,5,4,5,4,5,4,Estaba algo líquida pero el sabor era más acertado para ser una mayonesa,era muy dulce
30/11/2025 12:20:10,Muestra 232,3,5,5,5,4,4,4,4,rica pero no muy convincente. No la compraría,el que sea espesa y dulce ayuda a comprarla
30/11/2025 12:22:38,Muestra 144,5,3,5,5,5,5,5,5,"mucho más sabrosa, algo dulce pero no tanto como la otra ",muy dulce
30/11/2025 12:22:56,Muestra 144,5,3,5,5,5,5,5,5,Mas sabrosa mejor sabor,Un poco insípido 
30/11/2025 12:23:40,Muestra 144,5,4,5,5,5,5,5,5,Sabor mas intenso rico,No se siente bien
30/11/2025 12:25:57,Muestra 144,5,3,4,3,5,5,5,3,Sabe a Kraft eso le gusta ,Muy espesa 
30/11/2025 12:26:45,Muestra 232,3,5,5,5,4,4,4,5,muy convencional,"tiene una diferencia , un toque de limón que regula el dulce"
30/11/2025 12:28:01,Muestra 144,5,3,4,3,3,3,4,2,Agria y ácida lo que la hace agradable ,Aceitosa 
30/11/2025 12:36:15,Muestra 144,5,2,5,5,5,5,4,3,"tiene un gusto a aceituna, es bastante rica",el que sea dulce le quita lo rico
30/11/2025 12:36:27,Muestra 232,4,5,5,5,5,5,5,5,"No se siente ningun saboe, esta convencional",Mas rica con mas sazon
30/11/2025 12:46:35,Muestra 144,5,3,5,5,5,5,5,5,Es mas salada mas rica,No de siente bien el sabor
30/11/2025 12:47:13,Muestra 144,5,3,5,4,4,3,3,4,Más casera ,Muy genérica 
30/11/2025 12:49:44,Muestra 232,3,5,4,4,3,3,2,5,Muy agria ,Dulce y equilibrada 
30/11/2025 12:54:32,Muestra 144,5,3,5,5,5,5,5,5,tiene un sabor más gustoso que la otra,es más insipida
30/11/2025 12:57:33,Muestra 144,5,4,3,3,2,4,3,5,Destaca que el sabor le parece más casero y particular ,No le gustó mucho el dulzor pero destaca mucho la consistencia 
30/11/2025 12:58:31,Muestra 232,2,4,3,4,2,5,2,5,Muy invasiva siente que le quitaría el sabor a los alimentos donde la agregaría,Destaca que es un sabor que siente que invade menos los otros alimentos 
30/11/2025 12:59:01,Muestra 144,5,3,3,3,4,3,3,4,Destaca la acidez ,Muy insípida 
30/11/2025 12:59:17,Muestra 144,5,3,5,4,5,4,5,4,mucho más adaptable el sabor,muy espesa y extraña
30/11/2025 12:59:22,Muestra 232,5,5,5,5,5,5,5,5,Ambas ricas pero esta se siente mas el sabor,Le agregaria un poco mas de sal
30/11/2025 12:59:49,Muestra 144,5,3,3,3,1,3,4,5,Dice sentir un buen toque de vinagre que le da una acidez especial ,Muy dulce 
30/11/2025 12:59:56,Muestra 232,3,5,3,5,4,5,4,5,"Era algo amarga y líquida, no convencía como mayonesa",perfecto espesor y dulce
30/11/2025 12:59:56,Muestra 232,4,5,5,5,5,5,4,5,Muy liquida,Mas sabrosa y cremosa
30/11/2025 13:01:47,Muestra 144,4,3,3,3,5,5,3,5,Tiene como una acidez rica el color está normal podría ser más amarilla pero está como más líquida ,Esta es muy dulce pero es más cremosa que la otra 
30/11/2025 13:02:36,Muestra 232,4,5,5,5,5,5,3,5,No me gusta tanto porque es más con gusto a limón y como más salsa ,Cremosa suave y como más mayo cacera 
30/11/2025 13:04:39,Muestra 232,3,4,5,5,5,5,3,5,No está mala pero no tiene un sabor tan potente y es como más líquida ,Esta es cremosa y suave y como con un sabor más fuerte como mayo cacera dulce así rica 
30/11/2025 13:05:53,Muestra 232,3,5,3,4,5,5,3,4,Muy como aceite el sabor como que no le sentí mucho y es un poco más blanca que la otra ,Suave con un sabor mejor que el otro se le siente más y como más amarillita pero le falta igual 
30/11/2025 13:06:31,Muestra 144,5,3,5,5,5,5,5,5,Mas sabrosa el sabor se siente bastante,Muy dulce y el sabor se siente como despues de comerlo
30/11/2025 13:06:45,Muestra 144,5,3,5,5,5,5,5,3,"más confortable para probar, no es tan distinta a una convencional así que es más fácil de consumir",al ser dulce cambia y cuesta agarrarle el gusto
30/11/2025 13:06:58,Muestra 144,4,2,5,5,5,5,3,5,Buena liviana pero como que le falta consistencia ,No me gustó porque es muy dulce para mí pero está más cremosa que la otra 
30/11/2025 13:07:03,Muestra 144,5,4,5,5,5,5,5,4,Buen sabor y textura,Muy espesa 
30/11/2025 13:08:28,Muestra 232,4,5,4,5,4,5,4,5,algo agria,perfecto equilibrio entre lo salado y dulce
30/11/2025 13:09:42,Muestra 144,5,4,5,5,5,5,4,5,Buena con gusto como ácido pero rico le falta un poco de cremosidad ,También es rica pero le falta esa acidez 
30/11/2025 13:11:14,Muestra 232,3,5,3,4,1,1,3,5,No me gustó porque está muy con gusto a limón no huele a nada ninguna de las dos y está parece más salsa porque es más líquida ,Cremosa está más suave que la otra y con más sabor el olor lo mismo no le sentí nada 
30/11/2025 13:13:11,Muestra 232,3,4,5,5,5,5,4,4,el sabor es muy fuerte,es más convencional y rica
30/11/2025 13:14:06,Muestra 144,5,4,5,5,5,5,5,5,El sabor intenso esta rico ,El sabor esta muy suave
30/11/2025 13:14:48,Muestra 144,5,4,5,3,5,3,5,3,al ser algo más amarga es más rica que la dulce ,"muy dulce, parece teriyaki"
30/11/2025 13:15:28,Muestra 232,4,5,5,5,5,5,4,5,Se parecen mucho solo está es como un poco más agria que la otra y más como inconsistente ,Esta es más suave como crema y dulce 
30/11/2025 13:15:34,Muestra 144,5,3,5,4,5,4,5,3,Es bastante liviana para probar y acompañar. ,"muy densa, no es muy apetecible "
30/11/2025 13:15:44,Muestra 232,4,5,5,5,5,5,5,5,Esta buena pero muy invasivo el sabor,Rica en sabor ese dulce le da un toque
30/11/2025 13:30:38,Muestra 144,5,4,5,5,5,5,4,5,Rica sabe a mayo kraf ,También está buena pero es un poco más pesada que la otra 
30/11/2025 13:35:30,Muestra 144,5,3,3,3,4,2,3,5,Más agradable ,Muy industrial 
30/11/2025 13:36:06,Muestra 144,5,3,3,3,1,4,3,4,Acides bien equilibrada ,No le gusta lo dulce 
30/11/2025 13:37:00,Muestra 232,3,4,3,4,2,5,3,5,Muy ácida ,Bien equilibrada y suave 
30/11/2025 13:37:36,Muestra 232,5,5,3,3,2,4,3,5,Le gusta el sabor pero siente que le falta textura ,Le gusta mucho la textura pero siente que le falta sabor 
30/11/2025 13:41:37,Muestra 144,5,3,3,4,2,2,3,5,Se parece mucho a la Kraft ,Muy insípida siente que le falta sabor 